Date,Open,High,Low,Close,Adj Close,Volume
2013-01-02,12.873466,13.065802,12.675527,13.009216,6.412411,5260472
2013-01-03,13.009216,13.207211,12.924393,13.026192,6.420778,4338869
2013-01-04,13.009216,13.009216,12.285252,12.387051,6.105738,24419749
2013-01-07,12.443581,12.477532,11.640397,11.985459,5.907788,14405640
2013-01-08,12.041989,12.070282,11.617819,11.657372,5.746071,7612107
2013-01-09,11.747910,12.404027,11.680007,12.307830,6.066689,11924292
2013-01-10,12.432263,12.686788,12.245642,12.517143,6.169861,8184509
2013-01-11,12.517143,12.573672,12.217349,12.573672,6.197726,7327409
2013-01-14,12.579331,12.760350,12.398368,12.556696,6.189358,5340527
2013-01-15,12.579331,12.760350,12.364417,12.534118,6.178228,7169243
2013-01-16,12.500167,12.879124,12.415344,12.867807,6.342708,3897418
2013-01-17,12.896100,13.037509,12.788643,13.009216,6.412411,5350070
2013-01-18,13.014875,13.235447,12.884783,13.207211,6.510005,5322678
2013-01-21,13.184576,13.433442,13.071461,13.393832,6.601992,2402000
2013-01-22,13.354222,13.376856,12.828197,13.393832,6.601992,6556372
2013-01-23,12.867807,13.173259,12.737715,12.839514,6.328763,5350247
2013-01-24,12.811277,12.879124,12.647234,12.760350,6.289742,6175184
2013-01-28,12.952630,12.986581,12.539777,12.607624,6.214462,6074099
2013-01-29,12.669869,12.720740,12.392710,12.556696,6.189358,7619883
2013-01-30,12.500167,12.500167,12.228666,12.324806,6.075057,4292568
2013-01-31,12.381392,12.421003,12.092916,12.217349,6.022090,6647384
2013-02-01,12.358758,12.658551,12.358758,12.443581,6.133603,8159237
2013-02-04,12.511484,12.607624,12.387051,12.539777,6.181019,4833690
2013-02-05,12.483191,12.568014,12.387051,12.528460,6.175440,2404651
2013-02-06,12.437922,12.652893,12.370075,12.528460,6.175440,5178120
2013-02-07,12.590648,12.726398,12.296513,12.443581,6.133603,5537572
2013-02-08,12.551094,12.641576,12.217349,12.273935,6.049982,4072726
2013-02-13,12.262618,12.556696,12.234325,12.556696,6.189358,3317241
2013-02-14,12.500167,12.647234,12.364417,12.647234,6.233986,1800793
2013-02-15,12.652893,12.992240,12.511484,12.975264,6.395675,4176992
2013-02-18,13.009216,13.060143,12.862148,13.009216,6.412411,3278716
2013-02-19,12.958288,13.009216,12.777326,12.867807,6.342708,5259412
2013-02-20,12.941369,12.952630,12.732057,12.833855,6.325974,5391777
2013-02-21,12.732057,12.924393,12.454898,12.641576,6.231197,8453125
2013-02-22,12.669869,12.845173,12.415344,12.828197,6.323185,8605990
2013-02-25,12.873466,13.292034,12.726398,13.122332,6.468168,7702765
2013-02-26,13.071461,13.659674,13.071461,13.258082,6.535080,10848941
2013-02-27,13.258082,13.456077,13.252423,13.314668,6.562973,7552375
2013-02-28,13.342905,13.365539,13.195894,13.252423,6.532291,8375721
2013-03-01,13.122332,13.337302,13.009216,13.178918,6.496061,4600947
2013-03-04,13.161942,13.275058,13.065802,13.156283,6.484904,3243725
2013-03-05,13.156283,13.427784,13.065802,13.190235,6.501638,5544641
2013-03-06,13.241106,13.840693,13.241106,13.716260,6.760923,5220710
2013-03-07,13.744497,14.575974,13.716260,14.457199,7.126141,10807234
2013-03-08,14.321449,14.474175,13.970785,14.332766,7.064807,5633885
2013-03-11,14.355401,14.626901,14.083900,14.338425,7.067597,3329965
2013-03-12,14.338425,14.361059,14.027314,14.089559,6.944927,4646718
2013-03-13,14.129169,14.247944,13.823717,13.970785,6.886382,2578545
2013-03-14,13.948150,14.253602,13.948150,14.236626,7.017416,5109729
2013-03-15,14.281839,14.491151,14.038631,14.394955,7.095461,6032746
2013-03-18,14.434565,14.621243,14.202675,14.604267,7.198633,3451726
2013-03-19,14.434565,14.706065,14.202675,14.592950,7.193054,3375206
2013-03-20,13.009216,13.122332,12.556696,12.556696,6.189358,41282350
2013-03-21,12.788643,12.930052,12.647234,12.726398,6.273005,17084740
2013-03-22,12.726398,12.907417,12.669869,12.867807,6.342708,13213653
2013-03-25,12.833855,12.997899,12.641576,12.652893,6.236776,5926006
2013-03-26,12.647234,13.009216,12.647234,12.930052,6.373391,3971642
2013-03-27,12.947028,13.178918,12.890442,13.065802,6.440303,4564012
2013-03-28,13.292034,13.433442,13.048826,13.359880,6.585258,7616349
2013-04-01,13.292034,13.569193,13.258082,13.410808,6.610360,8142095
2013-04-02,13.292034,13.569193,13.065802,13.297692,6.554605,8807276
2013-04-03,13.263740,13.365539,13.082721,13.246765,6.529503,12758241
2013-04-04,13.286375,13.342905,13.014875,13.207211,6.510005,12986566
2013-04-05,13.241106,13.772790,13.144966,13.207211,6.510005,16351699
2013-04-08,13.292034,13.416467,12.896100,13.065802,6.440303,6662405
2013-04-09,13.144966,13.422125,13.014875,13.422125,6.615940,5309248
2013-04-10,13.410808,13.852010,13.371198,13.767131,6.785997,7355154
2013-04-11,13.784107,13.852010,13.393832,13.444760,6.627097,4445609
2013-04-12,13.456077,13.648357,13.235447,13.297692,6.554605,5150728
2013-04-15,13.286375,13.540900,13.212813,13.280716,6.546237,6032216
2013-04-16,13.303351,13.535241,13.235447,13.410808,6.610360,5565494
2013-04-17,13.303351,13.546558,13.292034,13.405149,6.607573,6871113
2013-04-18,13.410808,13.852010,13.348563,13.744497,6.774841,5041161
2013-04-19,13.801083,14.213992,13.704943,14.089559,6.944927,4432001
2013-04-22,14.083900,14.366718,13.874588,14.123511,6.961662,5084811
2013-04-23,14.140430,14.225309,13.993419,14.219651,7.009051,4585219
2013-04-24,14.180040,14.332766,14.100876,14.112193,6.956083,4720941
2013-04-25,14.185699,14.349742,13.999021,14.078242,6.939349,11387412
2013-04-26,14.066925,14.078242,13.738838,13.897223,6.850121,3745791
2013-04-29,13.987760,14.332766,13.818059,14.117852,6.958873,6101667
2013-04-30,14.140430,14.530705,14.032973,14.434565,7.114985,7955124
2013-05-02,13.857242,14.036051,13.486852,13.608186,7.105592,6168619
2013-05-03,13.742293,13.946646,13.608186,13.633731,7.118932,16706305
2013-05-06,13.633731,13.729521,13.391061,13.550712,7.075582,11136179
2013-05-07,13.627345,13.761451,13.550712,13.665661,7.135604,3646865
2013-05-08,13.761451,13.793381,13.614572,13.716749,7.162278,4441412
2013-05-09,13.665661,13.818925,13.448536,13.620958,7.112264,2811918
2013-05-10,13.601800,13.857242,13.518782,13.799767,7.205627,3307061
2013-05-13,13.818925,13.850856,13.537940,13.569870,7.085585,3280754
2013-05-14,13.601800,13.710363,13.493238,13.563484,7.082251,3160021
2013-05-15,13.493238,13.665661,13.429378,13.614572,7.108927,4371572
2013-05-16,13.793381,13.921102,13.703977,13.742293,7.175617,4659074
2013-05-17,13.793381,14.240404,13.793381,14.144613,7.385691,5291079
2013-05-20,13.793381,14.572477,13.793381,14.380896,7.509068,5490577
2013-05-21,14.431985,14.866235,14.419212,14.604407,7.625775,6901782
2013-05-22,14.687426,14.981119,14.629952,14.872621,7.765825,8175656
2013-05-23,14.687426,14.885329,14.566091,14.885329,7.772462,5882213
2013-05-24,14.859849,14.930031,14.687426,14.872621,7.765825,7709795
2013-05-27,14.910873,14.936417,14.700198,14.732128,7.692467,1679759
2013-05-28,14.930031,14.930031,14.515003,14.566091,7.605768,9829578
2013-05-29,14.495845,14.598021,14.163771,14.253176,7.442379,5809554
2013-05-31,14.208473,14.527775,13.806153,13.825312,7.218966,9775240
2013-06-03,14.023279,14.444757,13.818925,14.272334,7.452382,6252552
2013-06-04,14.457529,14.489459,13.825312,13.997734,7.308999,6684589
2013-06-05,13.972190,13.972190,13.493238,13.735907,7.172284,6568867
2013-06-06,13.742293,13.844470,13.506010,13.582642,7.092256,4929665
2013-06-07,13.442150,13.474080,13.122848,13.122848,6.852171,6793890
2013-06-10,13.154778,13.282499,13.090918,13.218638,6.902188,4232831
2013-06-11,13.186708,13.186708,12.784452,12.835540,6.702151,5419171
2013-06-12,12.995127,13.014285,12.484309,12.631187,6.595448,8615209
2013-06-13,12.695048,13.090918,12.599257,13.058988,6.818825,8701804
2013-06-14,13.180322,13.180322,12.663118,12.752522,6.658803,6089697
2013-06-17,12.771680,13.135620,12.714206,13.027058,6.802154,5378927
2013-06-18,12.963197,13.276113,12.797224,13.186708,6.885516,5676921
2013-06-19,13.103690,13.154778,12.758908,12.918495,6.745465,4201983
2013-06-20,12.765294,12.797224,12.184165,12.222481,6.382040,8519374
2013-06-21,12.362974,13.020671,11.909566,12.056445,6.295342,17359606
2013-06-24,12.005356,12.158621,11.756301,11.813775,6.168632,6698995
2013-06-25,11.941496,12.184165,11.845705,12.050059,6.292009,6989316
2013-06-26,12.101147,12.445992,12.011742,12.133077,6.335356,3303459
2013-06-27,12.196937,12.695048,12.101147,12.541783,6.548766,5371410
2013-06-28,12.497081,12.784452,12.401290,12.650346,6.605451,6386751
2013-07-01,12.497081,13.046216,12.401290,12.873857,6.722158,4354973
2013-07-02,12.880243,12.899337,12.305500,12.548169,6.552099,5256159
2013-07-03,12.388518,12.695048,12.248025,12.516239,6.535428,4683033
2013-07-04,12.688662,12.771680,12.458765,12.490695,6.522089,2646244
2013-07-05,12.452379,12.771680,12.011742,12.643959,6.602115,6912900
2013-07-08,12.580099,12.995127,12.465151,12.816382,6.692148,3987296
2013-07-10,12.899337,13.154778,12.529011,13.001513,6.788815,5926841
2013-07-11,13.084532,13.295271,12.950425,13.199480,6.892185,4859825
2013-07-12,13.180322,13.365517,12.771680,12.797224,6.682145,3860769
2013-07-15,12.873857,12.880243,12.477923,12.822768,6.695483,7475534
2013-07-16,12.880243,13.014285,12.643959,12.771680,6.668807,3549308
2013-07-17,12.809996,13.084532,12.733364,12.835540,6.702151,3592684
2013-07-18,12.867471,13.359131,12.867471,13.250569,6.918861,4582501
2013-07-19,13.122848,13.346359,12.912109,13.256955,6.922196,4720145
2013-07-22,13.199480,13.652889,13.199480,13.601800,7.102258,3756949
2013-07-23,13.729521,13.774223,13.454922,13.569870,7.085585,4306586
2013-07-24,13.627345,13.684819,13.378289,13.537940,7.068913,3108346
2013-07-25,13.429378,14.016892,13.429378,13.921102,7.268984,5016573
